Location Name,USGS Identifier
Painted Woods Outlet from New Johns Lkae,471911100392800
New Johns Lake,471948100400800
McClusky Canal at CM 52,472604100311600
McClusky Canal South of Radial Gate,472608100541000
McClusky Canal at Hoffers Lake,473058100272200
Lake Audobon inlet to McClusky Canal,4734111010600000
Lake Sakawea near Lake Audobon,473633101161400
Lake Audobon near Snake Creek Pump Station,473629101154100
Lake Audobon near Refuge Line,473635101101300
Lake Audobon at State Game Management,473827101111900
Lake Sakawea near Snake Creek Pump Station,6337930
